,Country,City,"city,country",Lat,Long,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
0,ae,sharjah,"sharjah,ae",25.36,25.36,88.2,46.0,0.0,3.36
1,af,baraki barak,"baraki barak,af",33.97,33.97,62.6,39.0,0.0,4.7
3,ai,the valley,"the valley,ai",18.22,18.22,82.47,74.0,40.0,13.87
4,ao,lucapa,"lucapa,ao",-8.42,-8.42,64.81,77.0,0.0,1.7
5,ao,namibe,"namibe,ao",-15.19,-15.19,71.83,100.0,0.0,2.15
6,ao,soyo,"soyo,ao",-6.13,-6.13,72.73,90.0,0.0,4.94
7,ar,dolores,"dolores,ar",-36.31,-36.31,59.14,70.0,0.0,9.64
8,ar,mar del plata,"mar del plata,ar",-46.43,-46.43,52.93,52.0,0.0,28.99
9,ar,necochea,"necochea,ar",-38.55,-38.55,60.4,54.0,8.0,13.33
10,ar,neuquen,"neuquen,ar",-38.95,-38.95,55.4,62.0,40.0,9.17
11,ar,rafaela,"rafaela,ar",-31.25,-31.25,66.97,56.0,0.0,7.96
12,ar,rawson,"rawson,ar",-43.3,-43.3,55.36,39.0,0.0,11.65
13,ar,rio gallegos,"rio gallegos,ar",-51.62,-51.62,42.8,60.0,0.0,41.38
14,ar,ushuaia,"ushuaia,ar",-54.81,-54.81,35.6,93.0,90.0,11.41
15,au,albany,"albany,au",-35.02,-35.02,60.22,89.0,88.0,19.6
16,au,alice springs,"alice springs,au",-23.7,-23.7,48.2,70.0,80.0,2.24
17,au,alyangula,"alyangula,au",-13.85,-13.85,76.51,100.0,20.0,11.43
18,au,blackwater,"blackwater,au",-23.58,-23.58,56.98,82.0,0.0,10.76
19,au,broken hill,"broken hill,au",-31.97,-31.97,58.42,68.0,92.0,14.79
20,au,broome,"broome,au",-17.97,-17.97,64.4,100.0,90.0,6.96
21,au,busselton,"busselton,au",-33.64,-33.64,65.53,100.0,92.0,24.74
22,au,byron bay,"byron bay,au",-28.65,-28.65,60.8,77.0,40.0,9.17
23,au,caboolture,"caboolture,au",-27.08,-27.08,57.02,87.0,75.0,9.17
24,au,carnarvon,"carnarvon,au",-24.87,-24.87,65.26,100.0,0.0,8.19
25,au,charters towers,"charters towers,au",-20.07,-20.07,62.47,87.0,92.0,7.74
26,au,dubbo,"dubbo,au",-32.25,-32.25,42.8,81.0,0.0,11.41
27,au,emerald,"emerald,au",-23.53,-23.53,55.72,82.0,0.0,8.97
28,au,esperance,"esperance,au",-33.86,-33.86,55.36,73.0,0.0,13.33
29,au,hobart,"hobart,au",-42.88,-42.88,37.4,93.0,75.0,8.05
30,au,horsham,"horsham,au",-36.71,-36.71,48.79,93.0,64.0,9.08
31,au,kempsey,"kempsey,au",-31.08,-31.08,54.64,100.0,0.0,1.48
32,au,mackay,"mackay,au",-21.15,-21.15,64.4,82.0,40.0,12.75
33,au,mount gambier,"mount gambier,au",-37.83,-37.83,57.88,74.0,92.0,8.63
34,au,mount isa,"mount isa,au",-20.73,-20.73,57.2,76.0,0.0,12.1
35,au,narrabri,"narrabri,au",-30.33,-30.33,37.99,82.0,0.0,2.48
36,au,new norfolk,"new norfolk,au",-42.78,-42.78,37.4,93.0,75.0,8.05
38,au,nhulunbuy,"nhulunbuy,au",-12.18,-12.18,75.2,88.0,92.0,6.93
39,au,port keats,"port keats,au",-14.25,-14.25,65.89,92.0,0.0,6.29
40,au,port lincoln,"port lincoln,au",-34.72,-34.72,63.91,84.0,0.0,22.17
41,au,port macquarie,"port macquarie,au",-31.43,-31.43,46.4,100.0,0.0,3.36
42,bb,bathsheba,"bathsheba,bb",13.22,13.22,82.4,74.0,75.0,18.34
43,bm,hamilton,"hamilton,bm",32.3,32.3,77.0,69.0,20.0,9.17
44,bm,saint george,"saint george,bm",32.38,32.38,77.0,69.0,20.0,9.17
45,bo,yacuiba,"yacuiba,bo",-22.04,-22.04,75.2,64.0,0.0,9.17
47,br,alta floresta,"alta floresta,br",-9.87,-9.87,85.87,57.0,56.0,3.49
48,br,anori,"anori,br",-3.74,-3.74,77.41,94.0,44.0,3.6
49,br,arraial do cabo,"arraial do cabo,br",-22.97,-22.97,70.63,64.0,0.0,2.24
50,br,borba,"borba,br",-4.39,-4.39,79.93,86.0,20.0,1.36
51,br,cabedelo,"cabedelo,br",-6.97,-6.97,78.8,74.0,75.0,10.29
52,br,caravelas,"caravelas,br",-17.73,-17.73,77.5,100.0,56.0,20.71
53,br,cidreira,"cidreira,br",-30.17,-30.17,63.01,82.0,0.0,8.63
54,br,colorado,"colorado,br",-22.84,-22.84,73.72,60.0,24.0,6.17
55,br,conde,"conde,br",-11.81,-11.81,75.34,98.0,92.0,10.65
56,br,fonte boa,"fonte boa,br",-2.51,-2.51,81.01,87.0,36.0,3.04
58,br,iraucuba,"iraucuba,br",-3.75,-3.75,78.31,81.0,88.0,3.49
59,br,itarema,"itarema,br",-2.92,-2.92,76.69,97.0,80.0,6.4
60,br,itupiranga,"itupiranga,br",-5.13,-5.13,87.8,58.0,0.0,4.7
61,br,jitauna,"jitauna,br",-14.02,-14.02,68.59,99.0,100.0,5.95
63,br,monte alegre,"monte alegre,br",-6.07,-6.07,80.6,74.0,75.0,11.41
64,br,rio grande,"rio grande,br",-32.03,-32.03,59.0,93.0,0.0,5.82
65,br,rondonopolis,"rondonopolis,br",-16.46,-16.46,82.27,47.0,0.0,4.61
66,br,sao francisco,"sao francisco,br",-25.65,-25.65,72.5,73.0,20.0,3.36
67,br,sao joao da barra,"sao joao da barra,br",-21.64,-21.64,69.8,83.0,0.0,4.7
68,br,tamandare,"tamandare,br",-8.28,-8.28,86.77,61.0,0.0,3.71
69,br,tanhacu,"tanhacu,br",-14.02,-14.02,72.46,65.0,80.0,9.98
70,br,trairi,"trairi,br",-3.28,-3.28,82.0,100.0,24.0,16.69
71,br,vila velha,"vila velha,br",-3.71,-3.71,80.6,78.0,40.0,8.05
72,br,xapuri,"xapuri,br",-10.65,-10.65,87.8,55.0,20.0,4.7
73,bt,mongar,"mongar,bt",27.28,27.28,63.37,100.0,92.0,1.59
75,ca,aklavik,"aklavik,ca",68.22,68.22,33.8,74.0,90.0,13.87
76,ca,clyde river,"clyde river,ca",70.47,70.47,28.4,74.0,75.0,13.87
77,ca,edson,"edson,ca",53.59,53.59,66.2,29.0,1.0,4.7
78,ca,eston,"eston,ca",51.15,51.15,77.0,47.0,75.0,26.4
79,ca,flin flon,"flin flon,ca",54.77,54.77,59.0,77.0,90.0,5.82
80,ca,geraldton,"geraldton,ca",49.72,49.72,48.2,87.0,90.0,10.29
81,ca,halifax,"halifax,ca",44.65,44.65,53.6,81.0,90.0,14.99
82,ca,hay river,"hay river,ca",60.82,60.82,42.8,100.0,90.0,5.82
83,ca,inuvik,"inuvik,ca",68.36,68.36,31.24,80.0,90.0,14.99
84,ca,iqaluit,"iqaluit,ca",63.75,63.75,26.6,73.0,75.0,19.46
85,ca,la ronge,"la ronge,ca",55.1,55.1,62.6,82.0,75.0,6.93
88,ca,norman wells,"norman wells,ca",65.28,65.28,48.2,66.0,90.0,12.75
89,ca,north battleford,"north battleford,ca",52.78,52.78,68.0,72.0,75.0,13.87
90,ca,pangnirtung,"pangnirtung,ca",66.15,66.15,28.99,95.0,36.0,10.2
92,ca,thompson,"thompson,ca",55.74,55.74,51.8,71.0,90.0,6.93
93,ca,torbay,"torbay,ca",47.66,47.66,42.8,93.0,90.0,5.82
94,ca,tuktoyaktuk,"tuktoyaktuk,ca",69.44,69.44,28.0,86.0,90.0,17.22
